year,date,month,state,state_abbrev,location,activity,surf_related,age,sex,injury,fatal,attack_type
1945,1945-05-08,5.0,North Carolina,NC,"Ocracoke Inlet, Carteret County",Swimming,False,,M,"FATAL, large gash to thigh",Y,Unprovoked
1945,1945-08-06,8.0,North Carolina,NC,Ocracoke,,False,,,FATAL,Y,Unprovoked
1947,1947-06-27,6.0,Hawaii,HI,"Off Waianae, O'ahu",Fishing,False,35.0,M,"Left forearm, arm & leg lacerated",N,Unprovoked
1947,1947-08-04,8.0,Florida,FL,In a canal 10 miles north of St Augustine,Swimming,False,20.0,M,"FATAL, calf bitten, leg surgically amputated  ",Y,Unprovoked
1948,1948-02-13,2.0,Texas,TX,"Gulf of Mexico between Brownsville & Carmen, Mexico","C47 aircraft carrying 5,000 lbs of ice ditched in the sea",False,,M,"FATAL. Womack was injured when plane went down, 3 days later he fell off liferaft & was taken by a shark  ",Y,Sea Disaster
1948,1948-07-01,7.0,US Virgin Islands,,"St. John, Genti Bay",Swimming,False,46.0,M,FATAL,Y,Unprovoked
1948,1948-09-19,9.0,Hawaii,HI,"Off Makapauu Point, O'ahu",Fishing,False,,M,Survived,N,Unprovoked
1948,1948-09-19,9.0,Hawaii,HI,"Off Makapauu Point, O'ahu",Swimming,False,,M,Leg bitten,N,Unprovoked
1949,1949-07-16,7.0,California,CA,"10 miles off Redondo Beach, Los Angeles County",Fishing,False,16.0,M,Right hand bitten by hooked shark being pulled onboard PROVOKED INCIDENT,N,Provoked
1949,1949-07-25,7.0,South Carolina,SC,"Oketee River, Jasper County",Floating on his back,False,16.0,M,"Abdomen abraded, thigh lacerated",N,Unprovoked
1950,1950-01-16,1.0,Hawaii,HI,"Kahakuloa, Maui","Fishing, one of three fishermen swept into the sea by a large wave",False,,M,"His remains were recovered from a huge shark caught 3 days later. The remains of another fisherman, Harold Fujimoto, were recovered, but the body of the third fisherman, Hideo Tamura, was never found",Y,Invalid
1950,1950-06-06,6.0,Florida,FL,275 miles northeast of Miami,Survived crash of two-engine  C-46 transport plane carrying 62 migrant workers from Puerto Rico to USA,False,25.0,M,"FATAL, bitten five times. Other survivors fought off sharks for 10 hours. One survivor's arm severed by a shark.",Y,Sea Disaster
1950,1950-06-25,6.0,New York,NY,"Beach 103rd Street, Rockaway ",Swimming,False,16.0,M,"Gashes & lacerations on legs, foot lacerated.",N,Unprovoked
1950,1950-07-09,7.0,Texas,TX,Galveston Bay,,False,,M,Human remains found in shark,Y,Invalid
1950,1950-07-10,7.0,Texas,TX,Near Port Arthur,Swimming,False,11.0,M,Laceration to leg,N,Unprovoked
1950,1950-10-28,10.0,California,CA,"Imperial Beach, San Diego County",Body surfing / treading water,True,31.0,M,Right leg lacerated,N,Unprovoked
1951,1951-06-25,6.0,Hawaii,HI,"Kapehu Beach, Laupahoehoe, Hawai'i",Swept out to sea while fishing,False,,M,"FATAL, victim seen in shark's mouth",Y,Unprovoked
1952,1952-05-27,5.0,California,CA,"Imperial Beach, San Diego County",Swimming on surface,True,,M,Foot & swimfin bitten,N,Unprovoked
1952,1952-07-05,7.0,Puerto Rico,PR,"Mona Island, 40 miles west of the mainland ","Spearfishing, carrying fish on spear",False,,M,Leg lacerated & bone fractured ,N,Unprovoked
1952,1952-07-13,7.0,California,CA,"San Diego, San Diego County",Fishing,False,34.0,M,Part of hand removed by shark he had caught PROVOKED INCIDENT,N,Provoked
1952,1952-07-27,7.0,Florida,FL,"Panacea, Wakulla County",Fishing for trout,False,,,No injury to occupants. Shark chasing fish leapt into skiff & flopped out,N,Boating
1952,1952-07-27,7.0,South Carolina,SC,Seabrook Beach,Fishing,False,43.0,M,Finger bitten by hooked shark PROVOKED INCIDENT,N,Provoked
1952,1952-07-27,7.0,California,CA,"Off Santa Monica, Los Angeles County",Boat exploded,False,,M,FATAL & some of the survivors were bitten by sharks  ,Y,Sea Disaster
1952,1952-07-27,7.0,South Carolina,SC,Seabrook Beach,Fishing,False,34.0,M,Thumb bitten by hooked shark PROVOKED INCIDENT,N,Provoked
1952,1952-08-03,8.0,Hawaii,HI,"Between Ala Moana Channel & Kewalo Basin, O'ahu",Swimming,False,,M,"FATAL, disappeared while swimming, shark bite found on right side of body",Y,Unprovoked
1952,1952-12-03,12.0,Hawaii,HI,"Maile Beach, O'ahu",Swimming from fishing boat setting nets,False,40.0,M,"FATAL, left arm severed below the elbow ",Y,Unprovoked
1952,1952-12-07,12.0,California,CA,"Pacific Grove, Monterey Bay, Monterey County",Body surfing & treading water,True,17.0,M,"FATAL, leg lacerated  ",Y,Unprovoked
1953,1953-02-18,2.0,Hawaii,HI,"Barbers Point, O'ahu",Bitten while cutting shark from net,False,,M,Hand bitten  PROVOKED INCIDENT  ,N,Provoked
1953,1953-04-04,4.0,Texas,TX,South Padre Island,Swimming,False,19.0,F,Lacerations to right foot,N,Unprovoked
1953,1953-07-04,7.0,Hawaii,HI,Kaula Rock near Niihau ,Accidentally dragged overboard from the sampan Holokahana into school of yellowfin tuna,False,,M,"Shark made 3 passes at him, lacerating his calf, shin and ankle ",N,Unprovoked
1953,1953-07-15,7.0,Florida,FL,"Juno Beach, Palm Beach County",Standing,False,26.0,F,Lower left leg severely bitten,N,Unprovoked
1953,1953-07-16,7.0,California,CA,"Santa Catalina Island, Los Angeles County",Fishing from market fishboat Sea Spray,False,,M,Arm bitten by hooked shark PROVOKED INCIDENT,N,Provoked
1953,1953-07-26,7.0,Hawaii,HI,"Maile Beach, O'ahu",Spearfishing,False,15.0,M,"FATAL, thigh bitten",Y,Unprovoked
1953,1953-09-02,9.0,Hawaii,HI,"Waiau, Pearl Harbor, O'ahu",Crabbing,False,,M,Leg & foot bitten,N,Unprovoked
1953,1953-09-18,9.0,Georgia,GA,200 miles east of Savannah,Aircaft exploded,False,,M,Hand bitten,N,Sea Disaster
1954,1954-04-08,4.0,Hawaii,HI,"Wailupe, O'ahu",Fishing from shore,False,,M,"Body recovered, mutilated by shark/s",Y,Invalid
1954,1954-06-29,6.0,California,CA,"Santa Monica, Los Angeles County",Grabbed shark & threw it on deck,False,35.0,M,Right elbow & forearm lacerated  PROVOKED INCIDENT,N,Provoked
1954,1954-09-21,9.0,California,CA,"La Jolla, San Diego County",Swimming,False,35.0,M,Minor bruises & abrasions on leg,N,Unprovoked
1954,1954-10-07,10.0,Virginia,VA,150 miles off Cape Henry,"American freighter Mormackite, bound from Buenos Aires for Baltimore, capsized & sank in heavy seas",False,,M,Rescue aircraft saw bodies in the water being bitten by sharks. One survivor saw a shark take off a mans leg & another reported that the second cook was killed by a shark,Y,Sea Disaster
1954,1954-11-20,11.0,Wake Island,,Wilkes Islet Lagoon (Pacific Ocean north of the Marshall Islands),Spearfishing,False,,M,Shoulder bitten,N,Unprovoked
1955,1955-02-06,2.0,California,CA,"Pacific Grove, Monterey County",Spearfishing,False,19.0,M,"Swimfin & 2 wool socks removed by shark, suit torn",N,Unprovoked
1955,1955-02-10,2.0,California,CA,"Trinidad Bay, Humboldt County",Scuba diving,False,,M,"No injury, shark bumped diver's face",N,Unprovoked
1955,1955-05-08,5.0,California,CA,"Malibu, Los Angeles County",Spearfishing,False,28.0,M,Diver hit shark & right forearm slightly injured PROVOKED INCIDENT,N,Provoked
1955,1955-06-23,6.0,Rhode Island,RI,Occupasstuxet  (Patuxent) Cove,Wading,False,13.0,M,Bites on legs & thighs,N,Unprovoked
1955,1955-08-30,8.0,California,CA,"Zuma Beach, Santa Monica, Los Angeles County",Surfing,True,25.0,M,"Surfer grabbed shark, which turned & bit him and 2 lifeguards PROVOKED INCIDENT",N,Provoked
1955,1955-09-03,9.0,California,CA,"Venice Beach, Los Angeles County",,False,,M,Minor injury,N,Unprovoked
1955,1955-09-04,9.0,California,CA,"Venice Beach, Los Angeles County",Swimming near breakwater,False,16.0,M,Dorsum of right foot lacerated,N,Unprovoked
1955,1955-09-20,9.0,Hawaii,HI,East Moloka'i,Hunting turtle,False,,M,Arm bitten,N,Unprovoked
1955,1955-12-11,12.0,Florida,FL,½ mile offshore & 9 miles north of Fort Pierce,Fishing for pompano,False,,,"No injury to occupants, shark released from net holed boat",N,Boating
1956,1956-07-12,7.0,South Carolina,SC,"Isle of Palms, Charleston County",Swimming,False,7.0,M,Arm & leg injured,N,Unprovoked
1956,1956-07-17,7.0,Florida,FL,"Miami Beach, Miami-Dade County",Wading,False,38.0,F,Lacerations to legs,N,Unprovoked
1956,1956-07-26,7.0,California,CA,"Van Ness Municipal Pier, San Francisco",Fishing,False,38.0,M,Finger bitten by hooked shark PROVOKED INCIDENT,N,Provoked
1956,1956-07-28,7.0,Puerto Rico,PR,Aquadilla,Floating in inner tube,False,13.0,M,FATAL. His brother speared a shark which then attacked Jose & severed his leg at knee. PROVOKED INCIDENT  ,Y,Provoked
1956,1956-08-15,8.0,California,CA,"Pismo Beach, San Luis Obispo County",Swimming near pier,False,10.0,M,"Lacerated thigh, hand & shoulder",N,Unprovoked
1956,1956-09-23,9.0,Florida,FL,"Daytona Beach, Volusia County",Surf fishing,False,27.0,M,Posterior left ankle bitten,N,Unprovoked
1957,1957-02-05,2.0,Florida,FL,"South Beach, Fort Pierce, St Lucie County",Floating,False,,M,Foot bitten,N,Unprovoked
1957,1957-04-22,4.0,Florida,FL,"Ormond Beach, Volusia County",Standing,False,17.0,M,Ankle injured by shark trapped in pool as it tried to get out PROVOKED INCIDENT  ,N,Provoked
1957,1957-04-28,4.0,California,CA,"Atascadero Beach, Morro Bay, San Luis Obispo County",Swimming,False,25.0,M,"FATAL, seen with arm in mouth of shark. Body not recovered.  ",Y,Unprovoked
1957,1957-07-15,7.0,North Carolina,NC,"Salter Path, Atlantic Beach, Carteret County",Swimming,False,57.0,M,"FATAL, knee bitten  ",Y,Unprovoked
1957,1957-07-24,7.0,California,CA,"La Jolla, San Diego County",Spearfishing on Scuba,False,,M,Diver jabbed shark with spear and it make a threat display. No injury PROVOKED INCIDENT,N,Provoked
1958,1958-02-01,2.0,US Virgin Islands,,Water Island,Spearfishing on Scuba,False,18.0,M,Chest bitten by speared shark PROVOKED INCIDENT,N,Provoked
1958,1958-04-30,4.0,Florida,FL,1 mile off Miami Beach,Free diving,False,29.0,M,"Grabbed sharks tail, shark bit his thigh PROVOKED INCIDENT",N,Provoked
1958,1958-06-17,6.0,Florida,FL,Key Biscayne,"Swimming, towing the shark",False,,M,Thigh bitten PROVOKED INCIDENT,N,Provoked
1958,1958-06-24,6.0,Florida,FL,"Turtle Beach, Siesta Key, Sarasota County",Walking,False,17.0,M,Lower left leg & foot bitten,N,Unprovoked
1958,1958-06-26,6.0,Florida,FL,"Sanibel Island, Lee County",Wading,False,59.0,M,Right foot bitten when he walked into shark's head PROVOKED INCIDENT,N,Provoked
1958,1958-07-02,7.0,Florida,FL,"Siesta Key, Sarasota County",Free diving,False,20.0,M,"He grabbed shark, it bit his leg below the knee PROVOKED INCIDENT",N,Provoked
1958,1958-07-10,7.0,Florida,FL,"Key West, Monroe County",,False,35.0,M,FATAL  Autopsy report: bitten by shark while still alive,Y,Unprovoked
1958,1958-07-27,7.0,Florida,FL,"9 miles north of Turtle Beach, Siesta Key, Sarasota County","Swimming, ducking for shells in water 0.9 m deep",False,12.0,M,3 lacerations on leg,N,Unprovoked
1958,1958-07-27,7.0,Florida,FL,"Longboat Key, Sarasota, Sarasota County","Swimming, ducking for shells in water 0.9 m deep",False,8.0,M,"Left hand and  leg bitten, leg surgically amputated below hip",N,Unprovoked
1958,1958-09-01,9.0,New York,NY,Staten Island,Spearfishing,False,20.0,M,Bitten by harpooned shark PROVOKED INCIDENT,N,Provoked
1958,1958-10-05,10.0,Florida,FL,"Baker's Haulover, Miami Beach",,False,60.0,M,No injury,N,Unprovoked
1958,1958-10-12,10.0,California,CA,"Coronado Strand, San Diego County",Swimming near jetty,False,15.0,M,"Left arm, hips & leg lacerated",N,Unprovoked
1958,1958-11-05,11.0,California,CA,"Pacific Beach, San Diego County",Fishing,False,,,"No injury to occupant, shark chasing barracuda tied to the stern rammed skiff & slashed the motor",N,Boat
1958,1958-12-13,12.0,Hawaii,HI,"Near Twin Islands off Lanikai, O'ahu (east coast)",Surfing on air mattress,True,15.0,M,"FATAL, leg severed  ",Y,Unprovoked
1959,1959-03-29,3.0,Florida,FL,"Vaca Cut Channel & bridge under Marathon, Monroe County",Swimming,False,13.0,M,"Bumped, then knee bitten",N,Unprovoked
1959,1959-04-09,4.0,Hawaii,HI,"Hilo, off Kaua'i",Fishing,False,,M,Survived,N,Unprovoked
1959,1959-05-03,5.0,Florida,FL,"Panama City, Bay County",Spearfishing,False,19.0,M,Lacerated hip & hands,N,Unprovoked
1959,1959-05-07,5.0,California,CA,"Baker Beach, San Francisco County",Treading water,False,18.0,M,"FATAL, left arm bitten, right arm partly severed, deep lacerations of left shoulder & chest ",Y,Unprovoked
1959,1959-05-16,5.0,Florida,FL,"Indian Rocks Beach, Clearwater, Pinellas County",,False,37.0,F,Minor injuries,N,Unprovoked
1959,1959-06-13,6.0,California,CA,"Dillon Beach, Marin County",Swimming,False,,,"Disappeared after diving in deep hole, body not recovered, presumed taken by a shark ",Y,Invalid
1959,1959-06-14,6.0,California,CA,"La Jolla, San Diego County",Free diving for abalone,False,33.0,M,"FATAL, body not recovered",Y,Unprovoked
1959,1959-07-02,7.0,Florida,FL,"Delray Beach, Palm Beach County",Free diving,False,13.0,M,Arm bitten when he grabbed sharks tail  PROVOKED INCIDENT,N,Provoked
1959,1959-07-23,7.0,California,CA,"Off La Jolla Cove, San Diego County",Fishing,False,,,"No injury to occupant, shark rammed boat",N,Boat
1959,1959-07-23,7.0,California,CA,"Venice Beach, Los Angeles County",Dragging stranded shark ashore,False,,M,"Gietel grabbed the shark's tail, the shark lacerated his right ankle PROVOKED INCIDENT",N,Provoked
1959,1959-07-25,7.0,California,CA,"Mission Beach, San Diego County",,False,21.0,,No injury to occupant,N,Boat
1959,1959-07-28,7.0,California,CA,"Alligator Head, La Jolla, San Diego County",Spearfishing (but on surface),True,25.0,M,"14 punctures on right thigh, swim trunks torn",N,Unprovoked
1959,1959-07-30,7.0,California,CA,"In kelp beds off La Jolla, San Diego County",Pulling anchor,False,,,"No injury to occupants, shark charged boat after being shot twice with pistol and speared PROVOKED INCIDENT",N,Provoked
1959,1959-08-05,8.0,California,CA,"Hermosa Beach, Los Angeles County",Wading,False,,M,"No injury, no attack, the shark merely circled him.",N,Invalid
1959,1959-08-10,8.0,Georgia,GA,"Savannah Beach, Savannah, Chatham County",Standing,False,15.0,F,"4"" cut on left foot ",N,Unprovoked
1959,1959-08-13,8.0,California,CA,"LaJolla, San Diego County","Spearfishing with Joe Turner (24). Shark attracted to speared halibut on belt of one diver, tried to bite Ides speargun & he shot it in the mouth",False,32.0,M,"No injury, PROVOKED INCIDENT",N,Provoked
1959,1959-08-14,8.0,South Carolina,SC,Charleston,Fishing,False,,M,Laceration to forearm by boated shark PROVOKED INCIDENT,N,Provoked
1959,1959-08-15,8.0,Florida,FL,"Panama City, Bay County",Spearfishing on Scuba,False,26.0,M,"FATAL, disappeared, dive gear & clothing found with teethmarks, presumed taken by a shark  ",Y,Unprovoked
1959,1959-08-15,8.0,Florida,FL,"Panama City, Bay County",Diving,False,21.0,M,No injury,N,Invalid
1959,1959-09-02,9.0,New York,NY,"Oak Beach, Fire Inlet",On inflatable raft,False,,M,No injury,N,Invalid
1959,1959-09-26,9.0,Florida,FL,"Off Port Everglades, Broward County","Adrift, hanging onto cushion, after his 17' skiff ran out of gas & capsized 3 miles from shore",False,30.0,M,"During the night both hands and feet were bitten, rescued next day after spending 17 hours in the sea.",N,Sea Disaster
1959,1959-09-26,9.0,South Carolina,SC,"Albergotti Creek, near Air Station boat docks, Beaufort",Gigging for flounder,False,,,,,Boat
1959,1959-10-04,10.0,California,CA,"Bodega Rock, Sonoma County",Diving for abalone,False,30.0,M,"Ankle twisted, swim fin bitten",N,Unprovoked
1959,1959-11-10,11.0,California,CA,"Near Paradise Cove, Malibu, Los Angeles County",Swimming at surface through school of feeding 2.5' to 5 sharks,True,21.0,M,Forearm bitten,N,Unprovoked
1959,1959-11-16,11.0,Louisiana,LA,120 miles southeast of New Orleans,National Airlines DC7B enroute from Miami to Los Angeles with 42 or 46 people on board went down in heavy fog,False,,,Body recovery efforts were hampered by large sharks but sharks did not cause the deaths. ,Y,Invalid
1960,1960-02-03,2.0,Hawaii,HI,Maui,S2F-1 airplane crashed immediately after carrier take-off,False,,,"Of crew of 4, only 1 person survived (broken legs but no shark bites). Within 20 minutes of his rescue large sharks were in area. No remains of other 3 crew recovered, and shark involvement in their deaths is questionable. ",Y,Invalid
1960,1960-02-27,2.0,Hawaii,HI,"Between Keawakapu & Makena, Maui",Spearfishing,False,36.0,M,Left forearm lacerated,N,Invalid
1960,1960-03-31,3.0,Florida,FL,"Off Boca Raton Hotel & Club, Boca Raton, Palm Beach County",Treading water,False,42.0,M,"Ankle bitten, hand injured while striking shark",N,Unprovoked
1960,1960-04-24,4.0,California,CA,"Tomales Point, Marin County",Skindiving for abalone (but at surface),True,48.0,M,Foot & swim fin bitten ,N,Unprovoked
1960,1960-05-16,5.0,Florida,FL,"Lignum Vitae Channel, Florida Keys, Monroe County",,False,,,"No injury, harpooned shark bit hull, leaving tooth fragments. PROVOKED INCIDENT",N,Provoked
1960,1960-05-19,5.0,California,CA,"Aptos, Santa Cruz County",Swimming,False,16.0,F,"Left leg bitten, surgically amputated below the knee",N,Unprovoked
1960,1960-06-04,6.0,Georgia,GA,"North picnic area, Jekyll Island, Glynn County",Swimming,False,24.0,M,Lower left leg & foot bitten,N,Unprovoked
1960,1960-06-07,6.0,California,CA,"10 miles off Santa Barbara, Santa Barbara County","Testing classified underwater electronic gear for Raytheon Corporation, vessel torn apart by explosion",False,37.0,M,"Legs & arms bitten, coroner unable to determine if injuries occurred before death.",N,Invalid
1960,1960-06-24,6.0,Florida,FL,"2 miles east of Dania Beach, Broward County",Scuba diving,False,39.0,M,"No injury, shark harrassed diver & attempted to bite his swimfins",N,Unprovoked
1960,1960-06-29,6.0,South Carolina,SC,"Little River Beach, Horry County",Surf fishing,False,,M,"Lacerations to calf, wrist & thumb by hooked shark. PROVOKED INCIDENT",N,Provoked
1960,1960-07-03,7.0,Virginia,VA,Hog Island,"Fishing, tossing netted shark onboard",False,41.0,M,Right arm bitten  PROVOKED INCIDENT,N,Provoked
1960,1960-07-05,7.0,Mississippi,MS,Mississippi City,Pulling raft out to ride to shore,False,17.0,M,Leg bitten,N,Unprovoked
1960,1960-08-04,8.0,Delaware,DE,"Mispillion Light, Delaware Bay","Fishing, Struck by another shark when removing shark from line",False,46.0,M,Hand lacerated,N,Unprovoked
1960,1960-08-10,8.0,Florida,FL,Key Largo Sound,Holding shark on leader & dangling it above the water,False,15.0,M,Right hand bitten by hooked shark PROVOKED INCIDENT,N,Provoked
1960,1960-08-21,8.0,New Jersey,NJ,"Sea Girt, Monmouth County",Standing in knee-deep water,False,24.0,M,"Lower right leg bitten, surgically amputated 10 days later",N,Unprovoked
1960,1960-08-22,8.0,New Jersey,NJ,"Seaside Park, Ocean County",,False,14.0,M,Knee ripped to bone,N,Unprovoked
1960,1960-08-24,8.0,Connecticut,CT,"Off Eames Monument, Bridgeport, Fairfield County",Free diving,False,38.0,M,Superficial laceration of left arm,N,Unprovoked
1960,1960-08-25,8.0,Texas,TX,30 miles east of Corpus Christi,Aircraft crashed into sea,False,,M,"Partial human remains spotted by helicopter, shark involvement, if any, may have been post-mortum",Y,Invalid
1960,1960-08-30,8.0,New Jersey,NJ,"Ocean City, Cape May County",Swimming 3 miles offshore,False,25.0,M,Right leg severely lacerated,N,Unprovoked
1960,1960-09-24,9.0,South Carolina,SC,"Atlantic Beach, Horry County",Fishing inside net,False,,M,"Multiple superficial lacerations of leg, arm & hand PROVOKED INCIDENT",N,Provoked
