year,date,month,state,state_abbrev,location,activity,surf_related,age,sex,injury,fatal,attack_type
1995,1995-08-25,8.0,North Carolina,NC,"Off Masonboro Island, New Hanover County",Swimming,False,16.0,M,Left arm bitten,N,Unprovoked
1995,1995-08-26,8.0,Florida,FL,"Crescent Beach, St. Johns County",Surfing,True,16.0,M,Left elbow bitten,N,Unprovoked
1995,1995-08-26,8.0,Florida,FL,"Ponce de Leon Inlet, Volusia County",Surfing,True,18.0,M,4 puncture wounds on right pinky finger,N,Unprovoked
1995,1995-08-31,8.0,South Carolina,SC,"Myrtle Beach, Horry County",On a float,False,44.0,M,Puncture wounds on ankle & leg,N,Unprovoked
1995,1995-08-31,8.0,Florida,FL,"North Beach Inlet, St. Lucie County",Surfing,True,19.0,M,Left hand & forearm bitten,N,Unprovoked
1995,1995-09-03,9.0,North Carolina,NC,"Bald Head Island, Brunswick County",Swimming,False,9.0,M,Laceration to lower leg,N,Invalid
1995,1995-09-03,9.0,California,CA,"Shelter Cove, Humboldt County",Abalone diving using Hookah (resting on the surface),True,32.0,M,Lower leg bitten,N,Unprovoked
1995,1995-09-13,9.0,Florida,FL,"Alligator Reef, off Islamorada, Monroe County",Scuba diving,False,25.0,M,"Presumed FATAL, body not recovered",Y,Unprovoked
1995,1995-09-17,9.0,Florida,FL,"Daytona Beach, Volusia County",Swimming,False,19.0,F,Left elbow and bicep bitten,N,Unprovoked
1995,1995-09-19,9.0,Florida,FL,"Matanzas Bay Inlet, St. Johns County",Surfing,True,19.0,M,Left arm & hand lacerated,N,Unprovoked
1995,1995-09-28,9.0,California,CA,"Davenport Landing, Santa Cruz County",Windsurfing,True,25.0,M,"Right foot bruised, board bitten",N,Unprovoked
1995,1995-09-30,9.0,Florida,FL,"Crescent Beach, St. Augustine, St. Johns County",Surfing,True,14.0,M,4 punctures in left foot,N,Unprovoked
1995,1995-09-30,9.0,Florida,FL,"North Beach, Hutchinson Island, St. Lucie County",Surfing,True,17.0,M,Leg & ankle bitten,N,Unprovoked
1995,1995-10-01,10.0,Florida,FL,"Ormond Beach, Volusia County",Surfing,True,39.0,M,Right arm injured,N,Unprovoked
1995,1995-10-21,10.0,Florida,FL,"North Beach, St. Lucie County",Surfing,True,17.0,M,Foot bitten,N,Unprovoked
1995,1995-11-25,11.0,Hawaii,HI,"Ha'ena, Kaua'i",,False,,M,Minor injury,N,Invalid
1995,1995-12-18,12.0,Hawaii,HI,Southwest of O'ahu,,False,,M,No details,,Unprovoked
1996,1996-01-16,1.0,Hawaii,HI,"KaelekiI Point, Maui",Swimming with mask & snorkel,False,53.0,M,Lacerations to left foot & right shin,N,Unprovoked
1996,1996-01-23,1.0,Florida,FL,"Florida Keys, Monroe County",Wading,False,33.0,M,Shark bit his leg after he grabbed its tail & wouldn't let go PROVOKED INCIDENT,N,Provoked
1996,1996-04-28,4.0,Hawaii,HI,"La'ie Point, O'ahu",,False,,M,No details,,Unprovoked
1996,1996-05-07,5.0,Florida,FL,"Shark Shallows, Ponce Inlet, Volusia County",Surfing,True,27.0,M,Left foot & leg bitten,N,Unprovoked
1996,1996-05-18,5.0,Florida,FL,"South of Ponce Inlet, Volusia County",Surfing,True,22.0,M,Right foot & ankle bitten,N,Unprovoked
1996,1996-06-25,6.0,South Carolina,SC,"Fripp Island, Beaufort County",Body surfing,True,24.0,F,"Lacerations to left shin, heel & foot",N,Unprovoked
1996,1996-07-04,7.0,Florida,FL,"Public Beach, Siesta Key, Sarasota County",Standing,False,63.0,F,Laceration on left foot,N,Unprovoked
1996,1996-07-10,7.0,Florida,FL,"New Smyrna Beach, Volusia County",,False,18.0,M,Right foot bitten,N,Unprovoked
1996,1996-07-14,7.0,Hawaii,HI,"Nakalele Point, Maui",,False,,,No details,,Unprovoked
1996,1996-07-20,7.0,Florida,FL,"New Smyrna Beach, Volusia County",Swimming,False,9.0,M,Laceration to right arm,N,Unprovoked
1996,1996-07-21,7.0,Massachusetts,MA,"Truro (Cape Cod), Barnstable County",Swimming,False,46.0,M,Lacerations to left leg & right foot ,N,Unprovoked
1996,1996-07-26,7.0,Florida,FL,"Wiggins Pass, Collier County",Standing,False,8.0,F,Survived,N,Unprovoked
1996,1996-08-11,8.0,Florida,FL,"Bayshore Garden, Sarasota Bay, Sarasota County",Wade fishing,False,21.0,M,"No injury, towed by shark that grabbed stringer of fish tied to his waist",N,Unprovoked
1996,1996-08-13,8.0,California,CA,"Bird Rock, Tomales Point",Free diving for abalone,False,36.0,M,"Left shoulder, forearm, hand & abdomen lacerated",N,Unprovoked
1996,1996-08-29,8.0,Hawaii,HI,"Paukukalo, Maui",Body Boarding,True,19.0,M,Right calf bitten,N,Unprovoked
1996,1996-09-01,9.0,South Carolina,SC,"Garden City Beach, Horry County",Boogie boarding,True,28.0,F,Minor injuries to foot,N,Invalid
1996,1996-09-02,9.0,Florida,FL,"Bethune Beach, Volusia County",Sitting on surfboard,True,28.0,M,Small lacerations on left foot,N,Unprovoked
1996,1996-09-02,9.0,Florida,FL,"Behune Beach, Volusia County",Standing,False,5.0,M,Right foot bitten,N,Unprovoked
1996,1996-09-06,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing / Swimming,True,19.0,M,Small puncture wounds and lacerations on right leg just below knee,N,Unprovoked
1996,1996-09-18,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Swimming,False,14.0,M,4 or 5 lacerations on left ankle,N,Unprovoked
